grade,F_b,F_t,F_v,F_c_perp,F_c,E,E_min,G,grading_agency
Alaska Cedar|Select,1150 psi,625 psi,165 psi,525 psi,1000 psi,1400000 psi,510000 psi,0.47,PLIB
Alaska Cedar|1,975 psi,525 psi,165 psi,525 psi,900 psi,1300000 psi,470000 psi,0.47,PLIB
Alaska Cedar|2,800 psi,425 psi,165 psi,525 psi,750 psi,1200000 psi,440000 psi,0.47,PLIB
Alaska Cedar|3,450 psi,250 psi,165 psi,525 psi,425 psi,1100000 psi,400000 psi,0.47,PLIB
Alaska Cedar|Stud,625 psi,350 psi,165 psi,525 psi,475 psi,1100000 psi,400000 psi,0.47,PLIB
Alaska Cedar|Construction,900 psi,500 psi,165 psi,525 psi,950 psi,1200000 psi,440000 psi,0.47,PLIB
Alaska Cedar|Standard,500 psi,275 psi,165 psi,525 psi,775 psi,1100000 psi,400000 psi,0.47,PLIB
Alaska Cedar|Utility,250 psi,125 psi,165 psi,525 psi,500 psi,1000000 psi,370000 psi,0.47,PLIB
Alaska Hemlock|Select,1300 psi,825 psi,185 psi,440 psi,1200 psi,1700000 psi,620000 psi,0.46,WWPA
Alaska Hemlock|1,900 psi,550 psi,185 psi,440 psi,1100 psi,1600000 psi,580000 psi,0.46,WWPA
Alaska Hemlock|2,825 psi,475 psi,185 psi,440 psi,1050 psi,1500000 psi,550000 psi,0.46,WWPA
Alaska Hemlock|3,475 psi,275 psi,185 psi,440 psi,600 psi,1400000 psi,510000 psi,0.46,WWPA
Alaska Hemlock|Stud,650 psi,375 psi,185 psi,440 psi,650 psi,1400000 psi,510000 psi,0.46,WWPA
Alaska Hemlock|Construction,950 psi,550 psi,185 psi,440 psi,1250 psi,1400000 psi,510000 psi,0.46,WWPA
Alaska Hemlock|Standard,525 psi,300 psi,185 psi,440 psi,1050 psi,1300000 psi,470000 psi,0.46,WWPA
Alaska Hemlock|Utility,250 psi,150 psi,185 psi,440 psi,700 psi,1200000 psi,440000 psi,0.46,WWPA
Alaska Spruce|Select,1400 psi,900 psi,160 psi,330 psi,1200 psi,1600000 psi,580000 psi,0.41,WWPA
Alaska Spruce|1,950 psi,600 psi,160 psi,330 psi,1100 psi,1500000 psi,550000 psi,0.41,WWPA
Alaska Spruce|2,875 psi,500 psi,160 psi,330 psi,1050 psi,1400000 psi,510000 psi,0.41,WWPA
Alaska Spruce|3,500 psi,300 psi,160 psi,330 psi,600 psi,1300000 psi,470000 psi,0.41,WWPA
Alaska Spruce|Stud,675 psi,400 psi,160 psi,330 psi,675 psi,1300000 psi,470000 psi,0.41,WWPA
Alaska Spruce|Construction,1000 psi,575 psi,160 psi,330 psi,1250 psi,1300000 psi,470000 psi,0.41,WWPA
Alaska Spruce|Standard,550 psi,325 psi,160 psi,330 psi,1050 psi,1200000 psi,440000 psi,0.41,WWPA
Alaska Spruce|Utility,275 psi,150 psi,160 psi,330 psi,700 psi,1100000 psi,400000 psi,0.41,WWPA
Alaska Yellow Cedar|Select,1350 psi,800 psi,225 psi,510 psi,1200 psi,1500000 psi,550000 psi,0.46,PLIB/WWPA
Alaska Yellow Cedar|1,900 psi,525 psi,225 psi,510 psi,1050 psi,1400000 psi,510000 psi,0.46,PLIB/WWPA
Alaska Yellow Cedar|2,800 psi,450 psi,225 psi,510 psi,1000 psi,1300000 psi,470000 psi,0.46,PLIB/WWPA
Alaska Yellow Cedar|3,475 psi,250 psi,225 psi,510 psi,575 psi,1200000 psi,440000 psi,0.46,PLIB/WWPA
Alaska Yellow Cedar|Stud,625 psi,350 psi,225 psi,510 psi,625 psi,1200000 psi,440000 psi,0.46,PLIB/WWPA
Alaska Yellow Cedar|Construction,925 psi,500 psi,225 psi,510 psi,1250 psi,1300000 psi,470000 psi,0.46,PLIB/WWPA
Alaska Yellow Cedar|Standard,500 psi,275 psi,225 psi,510 psi,1050 psi,1100000 psi,400000 psi,0.46,PLIB/WWPA
Alaska Yellow Cedar|Utility,250 psi,125 psi,225 psi,510 psi,675 psi,1100000 psi,400000 psi,0.46,PLIB/WWPA
Aspen|Select,875 psi,500 psi,120 psi,265 psi,725 psi,1100000 psi,400000 psi,0.39,NELMA/WWPA
Aspen|1,625 psi,375 psi,120 psi,265 psi,600 psi,1100000 psi,400000 psi,0.39,NELMA/WWPA
Aspen|2,600 psi,350 psi,120 psi,265 psi,450 psi,1000000 psi,370000 psi,0.39,NELMA/WWPA
Aspen|3,350 psi,200 psi,120 psi,265 psi,275 psi,900000 psi,330000 psi,0.39,NELMA/WWPA
Aspen|Stud,475 psi,275 psi,120 psi,265 psi,300 psi,900000 psi,330000 psi,0.39,NELMA/WWPA
Aspen|Construction,700 psi,400 psi,120 psi,265 psi,625 psi,900000 psi,330000 psi,0.39,NELMA/WWPA
Aspen|Standard,375 psi,225 psi,120 psi,265 psi,475 psi,900000 psi,330000 psi,0.39,NELMA/WWPA
Aspen|Utility,175 psi,100 psi,120 psi,265 psi,300 psi,800000 psi,290000 psi,0.39,NELMA/WWPA
Baldcypress|Select,1200 psi,650 psi,160 psi,615 psi,1200 psi,1400000 psi,510000 psi,0.47,SPIB
Baldcypress|1,1000 psi,550 psi,160 psi,615 psi,1050 psi,1400000 psi,510000 psi,0.47,SPIB
Baldcypress|2,825 psi,450 psi,160 psi,615 psi,900 psi,1300000 psi,470000 psi,0.47,SPIB
Baldcypress|3,475 psi,250 psi,160 psi,615 psi,525 psi,1200000 psi,440000 psi,0.47,SPIB
Baldcypress|Stud,650 psi,350 psi,160 psi,615 psi,575 psi,1200000 psi,440000 psi,0.47,SPIB
Baldcypress|Construction,925 psi,500 psi,160 psi,615 psi,1100 psi,1200000 psi,440000 psi,0.47,SPIB
Baldcypress|Standard,525 psi,275 psi,160 psi,615 psi,925 psi,1100000 psi,400000 psi,0.47,SPIB
Baldcypress|Utility,250 psi,125 psi,160 psi,615 psi,600 psi,1000000 psi,370000 psi,0.47,SPIB
Beech-Birch-Hickory|Select,1450 psi,850 psi,195 psi,715 psi,1200 psi,1700000 psi,620000 psi,0.71,NELMA
Beech-Birch-Hickory|1,1050 psi,600 psi,195 psi,715 psi,950 psi,1600000 psi,580000 psi,0.71,NELMA
Beech-Birch-Hickory|2,1000 psi,600 psi,195 psi,715 psi,750 psi,1500000 psi,550000 psi,0.71,NELMA
Beech-Birch-Hickory|3,575 psi,350 psi,195 psi,715 psi,425 psi,1300000 psi,470000 psi,0.71,NELMA
Beech-Birch-Hickory|Stud,775 psi,450 psi,195 psi,715 psi,475 psi,1300000 psi,470000 psi,0.71,NELMA
Beech-Birch-Hickory|Construction,1150 psi,675 psi,195 psi,715 psi,1000 psi,1400000 psi,510000 psi,0.71,NELMA
Beech-Birch-Hickory|Standard,650 psi,375 psi,195 psi,715 psi,775 psi,1300000 psi,470000 psi,0.71,NELMA
Beech-Birch-Hickory|Utility,300 psi,175 psi,195 psi,715 psi,500 psi,1200000 psi,440000 psi,0.71,NELMA
Coast Sitka Spruce|Select,1300 psi,950 psi,125 psi,455 psi,1200 psi,1700000 psi,620000 psi,0.43,NLGA
Coast Sitka Spruce|1,925 psi,550 psi,125 psi,455 psi,1100 psi,1500000 psi,550000 psi,0.43,NLGA
Coast Sitka Spruce|2,925 psi,550 psi,125 psi,455 psi,1100 psi,1500000 psi,550000 psi,0.43,NLGA
Coast Sitka Spruce|3,525 psi,325 psi,125 psi,455 psi,625 psi,1400000 psi,510000 psi,0.43,NLGA
Coast Sitka Spruce|Stud,725 psi,450 psi,125 psi,455 psi,675 psi,1400000 psi,510000 psi,0.43,NLGA
Coast Sitka Spruce|Construction,1050 psi,650 psi,125 psi,455 psi,1300 psi,1400000 psi,510000 psi,0.43,NLGA
Coast Sitka Spruce|Standard,600 psi,350 psi,125 psi,455 psi,1100 psi,1300000 psi,470000 psi,0.43,NLGA
Coast Sitka Spruce|Utility,275 psi,175 psi,125 psi,455 psi,725 psi,1200000 psi,440000 psi,0.43,NLGA
Cottonwood|Select,875 psi,525 psi,125 psi,320 psi,775 psi,1200000 psi,440000 psi,0.41,NELMA
Cottonwood|1,625 psi,375 psi,125 psi,320 psi,625 psi,1200000 psi,440000 psi,0.41,NELMA
Cottonwood|2,625 psi,350 psi,125 psi,320 psi,475 psi,1100000 psi,400000 psi,0.41,NELMA
Cottonwood|3,350 psi,200 psi,125 psi,320 psi,275 psi,1000000 psi,370000 psi,0.41,NELMA
Cottonwood|Stud,475 psi,275 psi,125 psi,320 psi,300 psi,1000000 psi,370000 psi,0.41,NELMA
Cottonwood|Construction,700 psi,400 psi,125 psi,320 psi,650 psi,1000000 psi,370000 psi,0.41,NELMA
Cottonwood|Standard,400 psi,225 psi,125 psi,320 psi,500 psi,900000 psi,330000 psi,0.41,NELMA
Cottonwood|Utility,175 psi,100 psi,125 psi,320 psi,325 psi,900000 psi,330000 psi,0.41,NELMA
Douglas Fir|Select,1500 psi,1000 psi,180 psi,625 psi,1700 psi,1900000 psi,690000 psi,0.41,NELMA
Douglas Fir|1+,1200 psi,800 psi,180 psi,625 psi,1550 psi,1800000 psi,660000 psi,0.41,NELMA
Douglas Fir|1,1000 psi,675 psi,180 psi,625 psi,1500 psi,1700000 psi,620000 psi,0.41,NELMA
Douglas Fir|2,900 psi,575 psi,180 psi,625 psi,1350 psi,1600000 psi,580000 psi,0.41,NELMA
Douglas Fir|3,525 psi,325 psi,180 psi,625 psi,775 psi,1400000 psi,510000 psi,0.41,NELMA
Douglas Fir|Stud,700 psi,450 psi,180 psi,625 psi,850 psi,1400000 psi,510000 psi,0.41,NELMA
Douglas Fir|Construction,1000 psi,650 psi,180 psi,625 psi,1650 psi,1500000 psi,550000 psi,0.41,NELMA
Douglas Fir|Standard,575 psi,375 psi,180 psi,625 psi,1400 psi,1400000 psi,510000 psi,0.41,NELMA
Douglas Fir|Utility,275 psi,175 psi,180 psi,625 psi,900 psi,1300000 psi,470000 psi,0.41,NELMA
Douglas Fir-North|Select,1350 psi,825 psi,180 psi,625 psi,1900 psi,1900000 psi,690000 psi,0.41,NELMA
Douglas Fir-North|1+,1150 psi,750 psi,180 psi,625 psi,1800 psi,1800000 psi,660000 psi,0.41,NELMA
Douglas Fir-North|1,850 psi,500 psi,180 psi,625 psi,1400 psi,1600000 psi,580000 psi,0.41,NELMA
Douglas Fir-North|2,850 psi,500 psi,180 psi,625 psi,1400 psi,1600000 psi,580000 psi,0.41,NELMA
Douglas Fir-North|3,475 psi,300 psi,180 psi,625 psi,825 psi,1400000 psi,510000 psi,0.41,NELMA
Douglas Fir-North|Stud,650 psi,400 psi,180 psi,625 psi,900 psi,1400000 psi,510000 psi,0.41,NELMA
Douglas Fir-North|Construction,950 psi,575 psi,180 psi,625 psi,1800 psi,1500000 psi,550000 psi,0.41,NELMA
Douglas Fir-North|Standard,525 psi,325 psi,180 psi,625 psi,1450 psi,1400000 psi,510000 psi,0.41,NELMA
Douglas Fir-North|Utility,250 psi,150 psi,180 psi,625 psi,950 psi,1300000 psi,470000 psi,0.41,NELMA
Douglas Fir-South|Select,1350 psi,900 psi,180 psi,520 psi,1600 psi,1400000 psi,510000 psi,0.46,WWPA
Douglas Fir-South|1,925 psi,600 psi,180 psi,520 psi,1450 psi,1300000 psi,470000 psi,0.46,WWPA
Douglas Fir-South|2,850 psi,525 psi,180 psi,520 psi,1350 psi,1200000 psi,440000 psi,0.46,WWPA
Douglas Fir-South|3,500 psi,300 psi,180 psi,520 psi,775 psi,1100000 psi,400000 psi,0.46,WWPA
Douglas Fir-South|Stud,675 psi,425 psi,180 psi,520 psi,850 psi,1100000 psi,400000 psi,0.46,WWPA
Douglas Fir-South|Construction,975 psi,600 psi,180 psi,520 psi,1650 psi,1200000 psi,440000 psi,0.46,WWPA
Douglas Fir-South|Standard,550 psi,350 psi,180 psi,520 psi,1400 psi,1100000 psi,400000 psi,0.46,WWPA
Douglas Fir-South|Utility,250 psi,150 psi,180 psi,520 psi,900 psi,1000000 psi,370000 psi,0.46,WWPA
Eastern Hemlock-Balsam Fir|Select,1250 psi,575 psi,140 psi,335 psi,1200 psi,1200000 psi,440000 psi,0.36,NELMA
Eastern Hemlock-Balsam Fir|1,775 psi,350 psi,140 psi,335 psi,1000 psi,1100000 psi,400000 psi,0.36,NELMA
Eastern Hemlock-Balsam Fir|2,575 psi,275 psi,140 psi,335 psi,825 psi,1100000 psi,400000 psi,0.36,NELMA
Eastern Hemlock-Balsam Fir|3,350 psi,150 psi,140 psi,335 psi,475 psi,900000 psi,330000 psi,0.36,NELMA
Eastern Hemlock-Balsam Fir|Stud,450 psi,200 psi,140 psi,335 psi,525 psi,900000 psi,330000 psi,0.36,NELMA
Eastern Hemlock-Balsam Fir|Construction,675 psi,300 psi,140 psi,335 psi,1050 psi,1000000 psi,370000 psi,0.36,NELMA
Eastern Hemlock-Balsam Fir|Standard,375 psi,175 psi,140 psi,335 psi,850 psi,900000 psi,330000 psi,0.36,NELMA
Eastern Hemlock-Balsam Fir|Utility,175 psi,75 psi,140 psi,335 psi,550 psi,800000 psi,290000 psi,0.36,NELMA
Eastern Hemlock-Tamarack|Select,1250 psi,575 psi,170 psi,555 psi,1200 psi,1200000 psi,440000 psi,0.41,NELMA
Eastern Hemlock-Tamarack|1,775 psi,350 psi,170 psi,555 psi,1000 psi,1100000 psi,400000 psi,0.41,NELMA
Eastern Hemlock-Tamarack|2,575 psi,275 psi,170 psi,555 psi,825 psi,1100000 psi,400000 psi,0.41,NELMA
Eastern Hemlock-Tamarack|3,350 psi,150 psi,170 psi,555 psi,475 psi,900000 psi,330000 psi,0.41,NELMA
Eastern Hemlock-Tamarack|Stud,450 psi,200 psi,170 psi,555 psi,525 psi,900000 psi,330000 psi,0.41,NELMA
Eastern Hemlock-Tamarack|Construction,675 psi,300 psi,170 psi,555 psi,1050 psi,1000000 psi,370000 psi,0.41,NELMA
Eastern Hemlock-Tamarack|Standard,375 psi,175 psi,170 psi,555 psi,850 psi,900000 psi,330000 psi,0.41,NELMA
Eastern Hemlock-Tamarack|Utility,175 psi,75 psi,170 psi,555 psi,550 psi,800000 psi,290000 psi,0.41,NELMA
Eastern Softwoods|Select,1250 psi,575 psi,140 psi,335 psi,1200 psi,1200000 psi,440000 psi,0.36,NELMA
Eastern Softwoods|1,775 psi,350 psi,140 psi,335 psi,1000 psi,1100000 psi,400000 psi,0.36,NELMA
Eastern Softwoods|2,575 psi,275 psi,140 psi,335 psi,825 psi,1100000 psi,400000 psi,0.36,NELMA
Eastern Softwoods|3,350 psi,150 psi,140 psi,335 psi,475 psi,900000 psi,330000 psi,0.36,NELMA
Eastern Softwoods|Stud,450 psi,200 psi,140 psi,335 psi,525 psi,900000 psi,330000 psi,0.36,NELMA
Eastern Softwoods|Construction,675 psi,300 psi,140 psi,335 psi,1050 psi,1000000 psi,370000 psi,0.36,NELMA
Eastern Softwoods|Standard,375 psi,175 psi,140 psi,335 psi,850 psi,900000 psi,330000 psi,0.36,NELMA
Eastern Softwoods|Utility,175 psi,75 psi,140 psi,335 psi,550 psi,800000 psi,290000 psi,0.36,NELMA
Eastern White Pine|Select,1250 psi,575 psi,135 psi,350 psi,1200 psi,1200000 psi,440000 psi,0.36,NELMA
Eastern White Pine|1,775 psi,350 psi,135 psi,350 psi,1000 psi,1100000 psi,400000 psi,0.36,NELMA
Eastern White Pine|2,575 psi,275 psi,135 psi,350 psi,825 psi,1100000 psi,400000 psi,0.36,NELMA
Eastern White Pine|3,350 psi,150 psi,135 psi,350 psi,475 psi,900000 psi,330000 psi,0.36,NELMA
Eastern White Pine|Stud,450 psi,200 psi,135 psi,350 psi,525 psi,900000 psi,330000 psi,0.36,NELMA
Eastern White Pine|Construction,675 psi,300 psi,135 psi,350 psi,1050 psi,1000000 psi,370000 psi,0.36,NELMA
Eastern White Pine|Standard,375 psi,175 psi,135 psi,350 psi,850 psi,900000 psi,330000 psi,0.36,NELMA
Eastern White Pine|Utility,175 psi,75 psi,135 psi,350 psi,550 psi,800000 psi,290000 psi,0.36,NELMA
Hem-Fir|Select,1400 psi,925 psi,150 psi,405 psi,1500 psi,1600000 psi,580000 psi,0.43,PLIB/WWPA
Hem-Fir|1+,1100 psi,725 psi,150 psi,405 psi,1350 psi,1500000 psi,550000 psi,0.43,PLIB/WWPA
Hem-Fir|1,975 psi,625 psi,150 psi,405 psi,1350 psi,1500000 psi,550000 psi,0.43,PLIB/WWPA
Hem-Fir|2,850 psi,525 psi,150 psi,405 psi,1300 psi,1300000 psi,470000 psi,0.43,PLIB/WWPA
Hem-Fir|3,500 psi,300 psi,150 psi,405 psi,725 psi,1200000 psi,440000 psi,0.43,PLIB/WWPA
Hem-Fir|Stud,675 psi,400 psi,150 psi,405 psi,800 psi,1200000 psi,440000 psi,0.43,PLIB/WWPA
Hem-Fir|Construction,975 psi,600 psi,150 psi,405 psi,1550 psi,1300000 psi,470000 psi,0.43,PLIB/WWPA
Hem-Fir|Standard,550 psi,325 psi,150 psi,405 psi,1300 psi,1200000 psi,440000 psi,0.43,PLIB/WWPA
Hem-Fir|Utility,250 psi,150 psi,150 psi,405 psi,850 psi,1100000 psi,400000 psi,0.43,PLIB/WWPA
Hem-Fir (North)|Select,1300 psi,775 psi,145 psi,405 psi,1700 psi,1700000 psi,620000 psi,0.46,NLGA
Hem-Fir (North)|1+,1200 psi,725 psi,145 psi,405 psi,1550 psi,1700000 psi,620000 psi,0.46,NLGA
Hem-Fir (North)|1,1000 psi,575 psi,145 psi,405 psi,1450 psi,1600000 psi,580000 psi,0.46,NLGA
Hem-Fir (North)|2,1000 psi,575 psi,145 psi,405 psi,1450 psi,1600000 psi,580000 psi,0.46,NLGA
Hem-Fir (North)|3,575 psi,325 psi,145 psi,405 psi,850 psi,1400000 psi,510000 psi,0.46,NLGA
Hem-Fir (North)|Stud,775 psi,450 psi,145 psi,405 psi,925 psi,1400000 psi,510000 psi,0.46,NLGA
Hem-Fir (North)|Construction,1150 psi,650 psi,145 psi,405 psi,1750 psi,1500000 psi,550000 psi,0.46,NLGA
Hem-Fir (North)|Standard,650 psi,350 psi,145 psi,405 psi,1500 psi,1400000 psi,510000 psi,0.46,NLGA
Hem-Fir (North)|Utility,300 psi,175 psi,145 psi,405 psi,975 psi,1300000 psi,470000 psi,0.46,NLGA
Mixed Maple|Select,1000 psi,600 psi,195 psi,620 psi,875 psi,1300000 psi,470000 psi,0.55,NELMA
Mixed Maple|1,725 psi,425 psi,195 psi,620 psi,700 psi,1200000 psi,440000 psi,0.55,NELMA
Mixed Maple|2,700 psi,425 psi,195 psi,620 psi,550 psi,1100000 psi,400000 psi,0.55,NELMA
Mixed Maple|3,400 psi,250 psi,195 psi,620 psi,325 psi,1000000 psi,370000 psi,0.55,NELMA
Mixed Maple|Stud,550 psi,325 psi,195 psi,620 psi,350 psi,1000000 psi,370000 psi,0.55,NELMA
Mixed Maple|Construction,800 psi,475 psi,195 psi,620 psi,725 psi,1100000 psi,400000 psi,0.55,NELMA
Mixed Maple|Standard,450 psi,275 psi,195 psi,620 psi,575 psi,1000000 psi,370000 psi,0.55,NELMA
Mixed Maple|Utility,225 psi,125 psi,195 psi,620 psi,375 psi,900000 psi,330000 psi,0.55,NELMA
Mixed Oak|Select,1150 psi,675 psi,170 psi,800 psi,1000 psi,1100000 psi,400000 psi,0.68,NELMA
Mixed Oak|1,825 psi,500 psi,170 psi,800 psi,825 psi,1000000 psi,370000 psi,0.68,NELMA
Mixed Oak|2,800 psi,475 psi,170 psi,800 psi,625 psi,900000 psi,330000 psi,0.68,NELMA
Mixed Oak|3,475 psi,275 psi,170 psi,800 psi,375 psi,800000 psi,290000 psi,0.68,NELMA
Mixed Oak|Stud,625 psi,375 psi,170 psi,800 psi,400 psi,800000 psi,290000 psi,0.68,NELMA
Mixed Oak|Construction,925 psi,550 psi,170 psi,800 psi,850 psi,900000 psi,330000 psi,0.68,NELMA
Mixed Oak|Standard,525 psi,300 psi,170 psi,800 psi,650 psi,800000 psi,290000 psi,0.68,NELMA
Mixed Oak|Utility,250 psi,150 psi,170 psi,800 psi,425 psi,800000 psi,290000 psi,0.68,NELMA
Northern Red Oak|Select,1400 psi,800 psi,220 psi,885 psi,1150 psi,1400000 psi,510000 psi,0.68,NELMA
Northern Red Oak|1,1000 psi,575 psi,220 psi,885 psi,925 psi,1400000 psi,510000 psi,0.68,NELMA
Northern Red Oak|2,975 psi,575 psi,220 psi,885 psi,725 psi,1300000 psi,470000 psi,0.68,NELMA
Northern Red Oak|3,550 psi,325 psi,220 psi,885 psi,425 psi,1200000 psi,440000 psi,0.68,NELMA
Northern Red Oak|Stud,750 psi,450 psi,220 psi,885 psi,450 psi,1200000 psi,440000 psi,0.68,NELMA
Northern Red Oak|Construction,1100 psi,650 psi,220 psi,885 psi,975 psi,1200000 psi,440000 psi,0.68,NELMA
Northern Red Oak|Standard,625 psi,350 psi,220 psi,885 psi,750 psi,1100000 psi,400000 psi,0.68,NELMA
Northern Red Oak|Utility,300 psi,175 psi,220 psi,885 psi,500 psi,1000000 psi,370000 psi,0.68,NELMA
Northern Species|Select,975 psi,425 psi,110 psi,350 psi,1100 psi,1100000 psi,400000 psi,0.35,NLGA
Northern Species|1,625 psi,275 psi,110 psi,350 psi,850 psi,1100000 psi,400000 psi,0.35,NLGA
Northern Species|2,625 psi,275 psi,110 psi,350 psi,850 psi,1100000 psi,400000 psi,0.35,NLGA
Northern Species|3,350 psi,150 psi,110 psi,350 psi,500 psi,1000000 psi,370000 psi,0.35,NLGA
Northern Species|Stud,475 psi,225 psi,110 psi,350 psi,550 psi,1000000 psi,370000 psi,0.35,NLGA
Northern Species|Construction,700 psi,325 psi,110 psi,350 psi,1050 psi,1000000 psi,370000 psi,0.35,NLGA
Northern Species|Standard,400 psi,175 psi,110 psi,350 psi,875 psi,900000 psi,330000 psi,0.35,NLGA
Northern Species|Utility,175 psi,75 psi,110 psi,350 psi,575 psi,900000 psi,330000 psi,0.35,NLGA
Northern White Cedar|Select,775 psi,450 psi,120 psi,370 psi,750 psi,800000 psi,290000 psi,0.31,NELMA
Northern White Cedar|1,575 psi,325 psi,120 psi,370 psi,600 psi,700000 psi,260000 psi,0.31,NELMA
Northern White Cedar|2,550 psi,325 psi,120 psi,370 psi,475 psi,700000 psi,260000 psi,0.31,NELMA
Northern White Cedar|3,325 psi,175 psi,120 psi,370 psi,275 psi,600000 psi,220000 psi,0.31,NELMA
