grade,F_b,F_t,F_v,F_c_perp,F_c,E,E_min,G,grading_agency
Northern White Cedar|Stud,425 psi,250 psi,120 psi,370 psi,300 psi,600000 psi,220000 psi,0.31,NELMA
Northern White Cedar|Construction,625 psi,375 psi,120 psi,370 psi,625 psi,700000 psi,260000 psi,0.31,NELMA
Northern White Cedar|Standard,350 psi,200 psi,120 psi,370 psi,475 psi,600000 psi,220000 psi,0.31,NELMA
Northern White Cedar|Utility,175 psi,100 psi,120 psi,370 psi,325 psi,600000 psi,220000 psi,0.31,NELMA
Norway Spruce (North)|Select,950 psi,600 psi,190 psi,410 psi,1100 psi,1500000 psi,550000 psi,0.4,NLGA
Norway Spruce (North)|1,650 psi,425 psi,190 psi,410 psi,900 psi,1300000 psi,470000 psi,0.4,NLGA
Norway Spruce (North)|2,650 psi,425 psi,190 psi,410 psi,900 psi,1300000 psi,470000 psi,0.4,NLGA
Norway Spruce (North)|3,375 psi,250 psi,190 psi,410 psi,525 psi,1200000 psi,440000 psi,0.4,NLGA
Norway Spruce (North)|Stud,500 psi,325 psi,190 psi,410 psi,575 psi,1200000 psi,440000 psi,0.4,NLGA
Norway Spruce (North)|Construction,725 psi,475 psi,190 psi,410 psi,1100 psi,1200000 psi,440000 psi,0.4,NLGA
Norway Spruce (North)|Standard,400 psi,275 psi,190 psi,410 psi,925 psi,1100000 psi,400000 psi,0.4,NLGA
Norway Spruce (North)|Utility,200 psi,125 psi,190 psi,410 psi,600 psi,1100000 psi,400000 psi,0.4,NLGA
Red Maple|Select,1300 psi,750 psi,210 psi,615 psi,1100 psi,1700000 psi,620000 psi,0.58,NELMA
Red Maple|1,925 psi,550 psi,210 psi,615 psi,900 psi,1600000 psi,580000 psi,0.58,NELMA
Red Maple|2,900 psi,525 psi,210 psi,615 psi,700 psi,1500000 psi,550000 psi,0.58,NELMA
Red Maple|3,525 psi,300 psi,210 psi,615 psi,400 psi,1300000 psi,470000 psi,0.58,NELMA
Red Maple|Stud,700 psi,425 psi,210 psi,615 psi,450 psi,1300000 psi,470000 psi,0.58,NELMA
Red Maple|Construction,1050 psi,600 psi,210 psi,615 psi,925 psi,1400000 psi,510000 psi,0.58,NELMA
Red Maple|Standard,575 psi,325 psi,210 psi,615 psi,725 psi,1300000 psi,470000 psi,0.58,NELMA
Red Maple|Utility,275 psi,150 psi,210 psi,615 psi,475 psi,1200000 psi,440000 psi,0.58,NELMA
Red Oak|Select,1150 psi,675 psi,170 psi,820 psi,1000 psi,1400000 psi,510000 psi,0.67,NELMA
Red Oak|1,825 psi,500 psi,170 psi,820 psi,825 psi,1300000 psi,470000 psi,0.67,NELMA
Red Oak|2,800 psi,475 psi,170 psi,820 psi,625 psi,1200000 psi,440000 psi,0.67,NELMA
Red Oak|3,475 psi,275 psi,170 psi,820 psi,375 psi,1100000 psi,400000 psi,0.67,NELMA
Red Oak|Stud,625 psi,375 psi,170 psi,820 psi,400 psi,1100000 psi,400000 psi,0.67,NELMA
Red Oak|Construction,925 psi,550 psi,170 psi,820 psi,850 psi,1200000 psi,440000 psi,0.67,NELMA
Red Oak|Standard,525 psi,300 psi,170 psi,820 psi,650 psi,1100000 psi,400000 psi,0.67,NELMA
Red Oak|Utility,250 psi,150 psi,170 psi,820 psi,425 psi,1000000 psi,370000 psi,0.67,NELMA
Redwood|Select,1100 psi,625 psi,160 psi,425 psi,1100 psi,1100000 psi,400000 psi,0.37,RIS
Redwood|1,775 psi,450 psi,160 psi,425 psi,900 psi,1100000 psi,400000 psi,0.37,RIS
Redwood|2,725 psi,425 psi,160 psi,425 psi,700 psi,1000000 psi,370000 psi,0.37,RIS
Redwood|3,425 psi,250 psi,160 psi,425 psi,400 psi,900000 psi,330000 psi,0.37,RIS
Redwood|Stud,575 psi,325 psi,160 psi,425 psi,450 psi,900000 psi,330000 psi,0.37,RIS
Redwood|Construction,825 psi,475 psi,160 psi,425 psi,925 psi,900000 psi,330000 psi,0.37,RIS
Redwood|Standard,450 psi,275 psi,160 psi,425 psi,725 psi,900000 psi,330000 psi,0.37,RIS
Redwood|Utility,225 psi,125 psi,160 psi,425 psi,475 psi,800000 psi,290000 psi,0.37,RIS
Spruce-Pine-Fir|Select,1250 psi,700 psi,135 psi,425 psi,1400 psi,1500000 psi,550000 psi,0.42,NLGA
Spruce-Pine-Fir|1,875 psi,450 psi,135 psi,425 psi,1150 psi,1400000 psi,510000 psi,0.42,NLGA
Spruce-Pine-Fir|2,875 psi,450 psi,135 psi,425 psi,1150 psi,1400000 psi,510000 psi,0.42,NLGA
Spruce-Pine-Fir|3,500 psi,250 psi,135 psi,425 psi,650 psi,1200000 psi,440000 psi,0.42,NLGA
Spruce-Pine-Fir|Stud,675 psi,350 psi,135 psi,425 psi,725 psi,1200000 psi,440000 psi,0.42,NLGA
Spruce-Pine-Fir|Construction,1000 psi,500 psi,135 psi,425 psi,1400 psi,1300000 psi,470000 psi,0.42,NLGA
Spruce-Pine-Fir|Standard,550 psi,275 psi,135 psi,425 psi,1150 psi,1200000 psi,440000 psi,0.42,NLGA
Spruce-Pine-Fir|Utility,275 psi,125 psi,135 psi,425 psi,750 psi,1100000 psi,400000 psi,0.42,NLGA
Spruce-Pine-Fir (South)|Select,1300 psi,575 psi,135 psi,335 psi,1200 psi,1300000 psi,470000 psi,0.36,NELMA/PLIB/WWPA
Spruce-Pine-Fir (South)|1,875 psi,400 psi,135 psi,335 psi,1050 psi,1200000 psi,440000 psi,0.36,NELMA/PLIB/WWPA
Spruce-Pine-Fir (South)|2,775 psi,350 psi,135 psi,335 psi,1000 psi,1100000 psi,400000 psi,0.36,NELMA/PLIB/WWPA
Spruce-Pine-Fir (South)|3,450 psi,200 psi,135 psi,335 psi,575 psi,1000000 psi,370000 psi,0.36,NELMA/PLIB/WWPA
Spruce-Pine-Fir (South)|Stud,600 psi,275 psi,135 psi,335 psi,625 psi,1000000 psi,370000 psi,0.36,NELMA/PLIB/WWPA
Spruce-Pine-Fir (South)|Construction,875 psi,400 psi,135 psi,335 psi,1200 psi,1000000 psi,370000 psi,0.36,NELMA/PLIB/WWPA
Spruce-Pine-Fir (South)|Standard,500 psi,225 psi,135 psi,335 psi,1000 psi,900000 psi,330000 psi,0.36,NELMA/PLIB/WWPA
Spruce-Pine-Fir (South)|Utility,225 psi,100 psi,135 psi,335 psi,675 psi,900000 psi,330000 psi,0.36,NELMA/PLIB/WWPA
Western Cedars|Select,1000 psi,600 psi,155 psi,425 psi,1000 psi,1100000 psi,400000 psi,0.36,PLIB/WWPA
Western Cedars|1,725 psi,425 psi,155 psi,425 psi,825 psi,1000000 psi,370000 psi,0.36,PLIB/WWPA
Western Cedars|2,700 psi,425 psi,155 psi,425 psi,650 psi,1000000 psi,370000 psi,0.36,PLIB/WWPA
Western Cedars|3,400 psi,250 psi,155 psi,425 psi,375 psi,900000 psi,330000 psi,0.36,PLIB/WWPA
Western Cedars|Stud,550 psi,325 psi,155 psi,425 psi,400 psi,900000 psi,330000 psi,0.36,PLIB/WWPA
Western Cedars|Construction,800 psi,475 psi,155 psi,425 psi,850 psi,900000 psi,330000 psi,0.36,PLIB/WWPA
Western Cedars|Standard,450 psi,275 psi,155 psi,425 psi,650 psi,800000 psi,290000 psi,0.36,PLIB/WWPA
Western Cedars|Utility,225 psi,125 psi,155 psi,425 psi,425 psi,800000 psi,290000 psi,0.36,PLIB/WWPA
Western Juniper|Select,925 psi,525 psi,125 psi,770 psi,225 psi,600000 psi,220000 psi,0.42,PLIB
Western Juniper|1,800 psi,425 psi,125 psi,770 psi,200 psi,600000 psi,220000 psi,0.42,PLIB
Western Juniper|2,650 psi,350 psi,125 psi,770 psi,175 psi,500000 psi,180000 psi,0.42,PLIB
Western Juniper|3,375 psi,200 psi,125 psi,770 psi,100 psi,500000 psi,180000 psi,0.42,PLIB
Western Juniper|Stud,500 psi,275 psi,125 psi,770 psi,100 psi,500000 psi,180000 psi,0.42,PLIB
Western Juniper|Construction,750 psi,400 psi,125 psi,770 psi,200 psi,500000 psi,180000 psi,0.42,PLIB
Western Juniper|Standard,425 psi,225 psi,125 psi,770 psi,175 psi,500000 psi,180000 psi,0.42,PLIB
Western Juniper|Utility,200 psi,100 psi,125 psi,770 psi,100 psi,400000 psi,150000 psi,0.42,PLIB
Western Woods|Select,900 psi,400 psi,135 psi,335 psi,1050 psi,1200000 psi,440000 psi,0.36,PLIB/WWPA
Western Woods|1,675 psi,300 psi,135 psi,335 psi,950 psi,1100000 psi,400000 psi,0.36,PLIB/WWPA
Western Woods|2,675 psi,300 psi,135 psi,335 psi,900 psi,1000000 psi,370000 psi,0.36,PLIB/WWPA
Western Woods|3,375 psi,175 psi,135 psi,335 psi,525 psi,900000 psi,330000 psi,0.36,PLIB/WWPA
Western Woods|Stud,525 psi,225 psi,135 psi,335 psi,575 psi,900000 psi,330000 psi,0.36,PLIB/WWPA
Western Woods|Construction,775 psi,350 psi,135 psi,335 psi,1100 psi,1000000 psi,370000 psi,0.36,PLIB/WWPA
Western Woods|Standard,425 psi,200 psi,135 psi,335 psi,925 psi,900000 psi,330000 psi,0.36,PLIB/WWPA
Western Woods|Utility,200 psi,100 psi,135 psi,335 psi,600 psi,800000 psi,290000 psi,0.36,PLIB/WWPA
White Oak|Select,1200 psi,700 psi,220 psi,800 psi,1100 psi,1100000 psi,400000 psi,0.73,NELMA
White Oak|1,875 psi,500 psi,220 psi,800 psi,900 psi,1000000 psi,370000 psi,0.73,NELMA
White Oak|2,850 psi,500 psi,220 psi,800 psi,700 psi,900000 psi,330000 psi,0.73,NELMA
White Oak|3,475 psi,275 psi,220 psi,800 psi,400 psi,800000 psi,290000 psi,0.73,NELMA
White Oak|Stud,650 psi,375 psi,220 psi,800 psi,450 psi,800000 psi,290000 psi,0.73,NELMA
White Oak|Construction,950 psi,550 psi,220 psi,800 psi,925 psi,900000 psi,330000 psi,0.73,NELMA
White Oak|Standard,525 psi,325 psi,220 psi,800 psi,725 psi,800000 psi,290000 psi,0.73,NELMA
White Oak|Utility,250 psi,150 psi,220 psi,800 psi,475 psi,800000 psi,290000 psi,0.73,NELMA
Yellow Cedar|Select,1200 psi,725 psi,175 psi,540 psi,1200 psi,1600000 psi,580000 psi,0.46,NLGA
Yellow Cedar|1,800 psi,475 psi,175 psi,540 psi,1000 psi,1400000 psi,510000 psi,0.46,NLGA
Yellow Cedar|2,800 psi,475 psi,175 psi,540 psi,1000 psi,1400000 psi,510000 psi,0.46,NLGA
Yellow Cedar|3,475 psi,275 psi,175 psi,540 psi,575 psi,1200000 psi,440000 psi,0.46,NLGA
Yellow Cedar|Stud,625 psi,375 psi,175 psi,540 psi,650 psi,1200000 psi,440000 psi,0.46,NLGA
Yellow Cedar|Construction,925 psi,550 psi,175 psi,540 psi,1200 psi,1300000 psi,470000 psi,0.46,NLGA
Yellow Cedar|Standard,525 psi,300 psi,175 psi,540 psi,1050 psi,1200000 psi,440000 psi,0.46,NLGA
Yellow Cedar|Utility,250 psi,150 psi,175 psi,540 psi,675 psi,1100000 psi,400000 psi,0.46,NLGA
Yellow Poplar|Select,1000 psi,575 psi,145 psi,420 psi,900 psi,1500000 psi,550000 psi,0.43,NELMA
Yellow Poplar|1,725 psi,425 psi,145 psi,420 psi,725 psi,1400000 psi,510000 psi,0.43,NELMA
Yellow Poplar|2,700 psi,400 psi,145 psi,420 psi,575 psi,1300000 psi,470000 psi,0.43,NELMA
Yellow Poplar|3,400 psi,225 psi,145 psi,420 psi,325 psi,1200000 psi,440000 psi,0.43,NELMA
Yellow Poplar|Stud,550 psi,325 psi,145 psi,420 psi,350 psi,1200000 psi,440000 psi,0.43,NELMA
Yellow Poplar|Construction,800 psi,475 psi,145 psi,420 psi,750 psi,1300000 psi,470000 psi,0.43,NELMA
Yellow Poplar|Standard,450 psi,250 psi,145 psi,420 psi,575 psi,1100000 psi,400000 psi,0.43,NELMA
Yellow Poplar|Utility,200 psi,125 psi,145 psi,420 psi,375 psi,1100000 psi,400000 psi,0.43,NELMA
Southern Pine|Select+|4,2700 psi,1900 psi,175 psi,660 psi,2050 psi,1900000 psi,690000 psi,0.55,SPIB
Southern Pine|Select|4,2350 psi,1650 psi,175 psi,565 psi,1900 psi,1800000 psi,660000 psi,0.55,SPIB
Southern Pine|Select-|4,2050 psi,1450 psi,175 psi,480 psi,1800 psi,1600000 psi,580000 psi,0.55,SPIB
Southern Pine|1+|4,1650 psi,1100 psi,175 psi,660 psi,1750 psi,1800000 psi,660000 psi,0.55,SPIB
Southern Pine|1|4,1500 psi,1000 psi,175 psi,565 psi,1650 psi,1600000 psi,580000 psi,0.55,SPIB
Southern Pine|1-|4,1300 psi,875 psi,175 psi,480 psi,1550 psi,1400000 psi,510000 psi,0.55,SPIB
Southern Pine|2+|4,1200 psi,750 psi,175 psi,660 psi,1500 psi,1600000 psi,580000 psi,0.55,SPIB
Southern Pine|2|4,1100 psi,675 psi,175 psi,565 psi,1450 psi,1400000 psi,510000 psi,0.55,SPIB
Southern Pine|2-|4,1050 psi,600 psi,175 psi,480 psi,1450 psi,1300000 psi,470000 psi,0.55,SPIB
Southern Pine|3|4,650 psi,400 psi,175 psi,565 psi,850 psi,1300000 psi,470000 psi,0.55,SPIB
Southern Pine|Stud|4,650 psi,400 psi,175 psi,565 psi,850 psi,1300000 psi,470000 psi,0.55,SPIB
Southern Pine|Construction|4,875 psi,500 psi,175 psi,565 psi,1600 psi,1400000 psi,510000 psi,0.55,SPIB
Southern Pine|Standard|4,475 psi,275 psi,175 psi,565 psi,1300 psi,1200000 psi,440000 psi,0.55,SPIB
Southern Pine|Utility|4,225 psi,125 psi,175 psi,565 psi,850 psi,1200000 psi,440000 psi,0.55,SPIB
Southern Pine|Select+|6,2400 psi,1650 psi,175 psi,660 psi,1900 psi,1900000 psi,690000 psi,0.55,SPIB
Southern Pine|Select|6,2100 psi,1450 psi,175 psi,565 psi,1800 psi,1800000 psi,660000 psi,0.55,SPIB
Southern Pine|Select-|6,1850 psi,1300 psi,175 psi,480 psi,1700 psi,1600000 psi,580000 psi,0.55,SPIB
Southern Pine|1+|6,1500 psi,1000 psi,175 psi,660 psi,1650 psi,1800000 psi,660000 psi,0.55,SPIB
Southern Pine|1|6,1350 psi,875 psi,175 psi,565 psi,1550 psi,1600000 psi,580000 psi,0.55,SPIB
Southern Pine|1-|6,1200 psi,775 psi,175 psi,480 psi,1450 psi,1400000 psi,510000 psi,0.55,SPIB
Southern Pine|2+|6,1050 psi,650 psi,175 psi,660 psi,1450 psi,1600000 psi,580000 psi,0.55,SPIB
Southern Pine|2|6,1000 psi,600 psi,175 psi,565 psi,1400 psi,1400000 psi,510000 psi,0.55,SPIB
Southern Pine|2-|6,950 psi,525 psi,175 psi,480 psi,1350 psi,1300000 psi,470000 psi,0.55,SPIB
Southern Pine|3|6,575 psi,350 psi,175 psi,565 psi,800 psi,1300000 psi,470000 psi,0.55,SPIB
Southern Pine|Stud|6,575 psi,350 psi,175 psi,565 psi,800 psi,1300000 psi,470000 psi,0.55,SPIB
Southern Pine|Select+|8,2200 psi,1550 psi,175 psi,660 psi,1850 psi,1900000 psi,690000 psi,0.55,SPIB
Southern Pine|Select|8,1950 psi,1350 psi,175 psi,565 psi,1700 psi,1800000 psi,660000 psi,0.55,SPIB
Southern Pine|Select-|8,1700 psi,1200 psi,175 psi,480 psi,1650 psi,1600000 psi,580000 psi,0.55,SPIB
Southern Pine|1+|8,1350 psi,900 psi,175 psi,660 psi,1600 psi,1800000 psi,660000 psi,0.55,SPIB
Southern Pine|1|8,1250 psi,800 psi,175 psi,565 psi,1500 psi,1600000 psi,580000 psi,0.55,SPIB
Southern Pine|1-|8,1100 psi,700 psi,175 psi,480 psi,1400 psi,1400000 psi,510000 psi,0.55,SPIB
Southern Pine|2+|8,975 psi,600 psi,175 psi,660 psi,1400 psi,1600000 psi,580000 psi,0.55,SPIB
Southern Pine|2|8,925 psi,550 psi,175 psi,565 psi,1350 psi,1400000 psi,510000 psi,0.55,SPIB
Southern Pine|2-|8,875 psi,500 psi,175 psi,480 psi,1300 psi,1300000 psi,470000 psi,0.55,SPIB
Southern Pine|3|8,525 psi,325 psi,175 psi,565 psi,775 psi,1300000 psi,470000 psi,0.55,SPIB
Southern Pine|Stud|8,525 psi,325 psi,175 psi,565 psi,775 psi,1300000 psi,470000 psi,0.55,SPIB
Southern Pine|Select+|10,1950 psi,1300 psi,175 psi,660 psi,1800 psi,1900000 psi,690000 psi,0.55,SPIB
Southern Pine|Select|10,1700 psi,1150 psi,175 psi,565 psi,1650 psi,1800000 psi,660000 psi,0.55,SPIB
Southern Pine|Select-|10,1500 psi,1050 psi,175 psi,480 psi,1600 psi,1600000 psi,580000 psi,0.55,SPIB
Southern Pine|1+|10,1200 psi,800 psi,175 psi,660 psi,1550 psi,1800000 psi,660000 psi,0.55,SPIB
Southern Pine|1|10,1050 psi,700 psi,175 psi,565 psi,1450 psi,1600000 psi,580000 psi,0.55,SPIB
Southern Pine|1-|10,950 psi,625 psi,175 psi,480 psi,1400 psi,1400000 psi,510000 psi,0.55,SPIB
Southern Pine|2+|10,850 psi,525 psi,175 psi,660 psi,1350 psi,1600000 psi,580000 psi,0.55,SPIB
Southern Pine|2|10,800 psi,475 psi,175 psi,565 psi,1300 psi,1400000 psi,510000 psi,0.55,SPIB
Southern Pine|2-|10,750 psi,425 psi,175 psi,480 psi,1250 psi,1300000 psi,470000 psi,0.55,SPIB
Southern Pine|3|10,475 psi,275 psi,175 psi,565 psi,750 psi,1300000 psi,470000 psi,0.55,SPIB
Southern Pine|Stud|10,475 psi,275 psi,175 psi,565 psi,750 psi,1300000 psi,470000 psi,0.55,SPIB
Southern Pine|Select+|12,1800 psi,1250 psi,175 psi,660 psi,1750 psi,1900000 psi,690000 psi,0.55,SPIB
Southern Pine|Select|12,1600 psi,1100 psi,175 psi,565 psi,1650 psi,1800000 psi,660000 psi,0.55,SPIB
Southern Pine|Select-|12,1400 psi,975 psi,175 psi,480 psi,1550 psi,1600000 psi,580000 psi,0.55,SPIB
Southern Pine|1+|12,1100 psi,750 psi,175 psi,660 psi,1500 psi,1800000 psi,660000 psi,0.55,SPIB
Southern Pine|1|12,1000 psi,650 psi,175 psi,565 psi,1400 psi,1600000 psi,580000 psi,0.55,SPIB
Southern Pine|1-|12,900 psi,575 psi,175 psi,480 psi,1350 psi,1400000 psi,510000 psi,0.55,SPIB
Southern Pine|2+|12,800 psi,500 psi,175 psi,660 psi,1300 psi,1600000 psi,580000 psi,0.55,SPIB
Southern Pine|2|12,750 psi,450 psi,175 psi,565 psi,1250 psi,1400000 psi,510000 psi,0.55,SPIB
Southern Pine|2-|12,700 psi,400 psi,175 psi,480 psi,1250 psi,1300000 psi,470000 psi,0.55,SPIB
Southern Pine|3|12,450 psi,250 psi,175 psi,565 psi,725 psi,1300000 psi,470000 psi,0.55,SPIB
Southern Pine|Stud|12,450 psi,250 psi,175 psi,565 psi,725 psi,1300000 psi,470000 psi,0.55,SPIB
Mixed Southern Pine|Select|4,2050 psi,1200 psi,175 psi,565 psi,1800 psi,1600000 psi,580000 psi,0.51,SPIB
Mixed Southern Pine|1|4,1450 psi,875 psi,175 psi,565 psi,1650 psi,1500000 psi,550000 psi,0.51,SPIB
Mixed Southern Pine|2|4,1100 psi,675 psi,175 psi,565 psi,1450 psi,1400000 psi,510000 psi,0.51,SPIB
Mixed Southern Pine|3|4,650 psi,400 psi,175 psi,565 psi,850 psi,1200000 psi,440000 psi,0.51,SPIB
Mixed Southern Pine|Stud|4,650 psi,400 psi,175 psi,565 psi,850 psi,1200000 psi,440000 psi,0.51,SPIB
Mixed Southern Pine|Construction|4,875 psi,500 psi,175 psi,565 psi,1600 psi,1300000 psi,470000 psi,0.51,SPIB
Mixed Southern Pine|Standard|4,475 psi,275 psi,175 psi,565 psi,1300 psi,1200000 psi,440000 psi,0.51,SPIB
Mixed Southern Pine|Utility|4,225 psi,125 psi,175 psi,565 psi,850 psi,1100000 psi,400000 psi,0.51,SPIB
Mixed Southern Pine|Select|6,1850 psi,1100 psi,175 psi,565 psi,1700 psi,1600000 psi,580000 psi,0.51,SPIB
Mixed Southern Pine|1|6,1300 psi,750 psi,175 psi,565 psi,1550 psi,1500000 psi,550000 psi,0.51,SPIB
Mixed Southern Pine|2|6,1000 psi,600 psi,175 psi,565 psi,1400 psi,1400000 psi,510000 psi,0.51,SPIB
Mixed Southern Pine|3|6,575 psi,350 psi,175 psi,565 psi,800 psi,1200000 psi,440000 psi,0.51,SPIB
Mixed Southern Pine|Stud|6,575 psi,350 psi,175 psi,565 psi,800 psi,1200000 psi,440000 psi,0.51,SPIB
Mixed Southern Pine|Select|8,1750 psi,1000 psi,175 psi,565 psi,1600 psi,1600000 psi,580000 psi,0.51,SPIB
Mixed Southern Pine|1|8,1200 psi,700 psi,175 psi,565 psi,1450 psi,1500000 psi,550000 psi,0.51,SPIB
Mixed Southern Pine|2|8,925 psi,550 psi,175 psi,565 psi,1350 psi,1400000 psi,510000 psi,0.51,SPIB
Mixed Southern Pine|3|8,525 psi,325 psi,175 psi,565 psi,775 psi,1200000 psi,440000 psi,0.51,SPIB
Mixed Southern Pine|Stud|8,525 psi,325 psi,175 psi,565 psi,775 psi,1200000 psi,440000 psi,0.51,SPIB
Mixed Southern Pine|Select|10,1500 psi,875 psi,175 psi,565 psi,1600 psi,1600000 psi,580000 psi,0.51,SPIB
Mixed Southern Pine|1|10,1050 psi,600 psi,175 psi,565 psi,1450 psi,1500000 psi,550000 psi,0.51,SPIB
Mixed Southern Pine|2|10,800 psi,475 psi,175 psi,565 psi,1300 psi,1400000 psi,510000 psi,0.51,SPIB
Mixed Southern Pine|3|10,475 psi,275 psi,175 psi,565 psi,750 psi,1200000 psi,440000 psi,0.51,SPIB
Mixed Southern Pine|Stud|10,475 psi,275 psi,175 psi,565 psi,750 psi,1200000 psi,440000 psi,0.51,SPIB
Mixed Southern Pine|Select|12,1400 psi,825 psi,175 psi,565 psi,1550 psi,1600000 psi,580000 psi,0.51,SPIB
Mixed Southern Pine|1|12,975 psi,575 psi,175 psi,565 psi,1400 psi,1500000 psi,550000 psi,0.51,SPIB
Mixed Southern Pine|2|12,750 psi,450 psi,175 psi,565 psi,1250 psi,1400000 psi,510000 psi,0.51,SPIB
Mixed Southern Pine|3|12,450 psi,250 psi,175 psi,565 psi,725 psi,1200000 psi,440000 psi,0.51,SPIB
Mixed Southern Pine|Stud|12,450 psi,250 psi,175 psi,565 psi,725 psi,1200000 psi,440000 psi,0.51,SPIB

